ISO 3166-1 numeric code,Location,Time,Sex,Note,0-4,9-May,14-Oct,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
900,World,,,,,,,,,,,,,,,,,,,,,,,,,
908,   Europe,,,,,,,,,,,,,,,,,,,,,,,,,
923,      Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,
804,         Ukraine,2018,Both sexes combined,14,   2 302.858,   2 457.319,   2 187.884,6948061,   1 927.041,   2 296.361,   3 071.927,   3 659.750,   3 515.087,   3 236.517,   2 943.156,   2 931.846,   3 150.145,   2 949.796,   2 455.914,   1 633.580,   1 437.803,   1 171.612,421.362,224.191,33.054,2.011
804,         Ukraine,2019,Both sexes combined,14,   2 303.869,   2 428.509,   2 287.688,7020066,   1 913.946,   2 189.905,   2 874.578,   3 615.767,   3 552.217,   3 268.002,   2 999.477,   2 832.307,   3 130.599,   2 926.467,   2 554.747,   1 707.949,   1 306.313,   1 242.647,401.41,222.473,34.367,1.983
804,         Ukraine,2020,Both sexes combined,14,   2 284.881,   2 402.888,   2 361.523,7049292,   1 936.622,   2 097.645,   2 697.297,   3 530.337,   3 581.303,   3 309.350,   3 048.132,   2 778.440,   3 082.640,   2 917.078,   2 624.530,   1 793.206,   1 243.298,   1 234.267,423.448,201.279,29.032,2.038
804,         Ukraine,2021,Both sexes combined,14,   2 259.070,   2 383.827,   2 406.203,7049100,   1 990.019,   2 018.878,   2 535.471,   3 400.596,   3 598.025,   3 351.868,   3 086.265,   2 758.679,   2 998.418,   2 905.862,   2 652.631,   1 879.611,   1 221.710,   1 176.517,497.674,199.526,37.941,2.179
804,         Ukraine,2022,Both sexes combined,14,   2 224.406,   2 362.090,   2 424.736,7011232,   2 078.296,   1 955.091,   2 395.222,   3 230.228,   3 608.793,   3 397.579,   3 118.688,   2 782.095,   2 888.959,   2 908.502,   2 651.896,   1 982.693,   1 237.219,   1 073.057,586.09,181.667,50.707,2.397
804,         Ukraine,2023,Both sexes combined,14,   2 180.425,   2 338.667,   2 422.690,6941782,   2 184.503,   1 912.477,   2 275.401,   3 035.905,   3 602.568,   3 443.120,   3 149.176,   2 834.523,   2 774.803,   2 912.761,   2 634.931,   2 089.358,   1 279.084,962.427,657.134,164.702,58.989,2.687
804,         Ukraine,2024,Both sexes combined,14,   2 134.515,   2 312.420,   2 411.615,6858550,   2 282.007,   1 900.296,   2 170.919,   2 842.945,   3 562.363,   3 483.333,   3 184.498,   2 892.830,   2 686.126,   2 899.004,   2 620.014,   2 180.353,   1 337.162,883.716,688.198,154.332,57.693,3.042
804,         Ukraine,2025,Both sexes combined,14,   2 091.129,   2 281.169,   2 399.606,6771904,   2 353.530,   1 922.897,   2 079.374,   2 668.229,   3 478.990,   3 513.949,   3 227.873,   2 942.871,   2 640.310,   2 857.438,   2 616.933,   2 244.671,   1 407.559,850.245,669.209,158.276,44.939,3.45
804,         Ukraine,2026,Both sexes combined,14,   2 049.717,   2 245.487,   2 383.191,6678395,   2 398.887,   1 977.481,   2 002.054,   2 509.441,   3 353.458,   3 532.706,   3 271.211,   2 981.145,   2 624.017,   2 781.354,   2 610.535,   2 268.664,   1 481.874,848.016,642.646,202.627,43.335,3.929
804,         Ukraine,2027,Both sexes combined,14,   2 007.458,   2 208.037,   2 362.862,6578357,   2 417.283,   2 066.321,   1 939.094,   2 371.163,   3 186.941,   3 545.215,   3 317.311,   3 014.096,   2 647.969,   2 681.519,   2 616.491,   2 268.752,   1 569.505,862.488,591.071,244.5,42.597,4.47
804,         Ukraine,2028,Both sexes combined,14,   1 966.330,   2 169.135,   2 338.672,6474137,   2 414.812,   2 172.130,   1 896.607,   2 252.340,   2 995.601,   3 540.147,   3 362.633,   3 044.988,   2 698.742,   2 577.107,   2 622.806,   2 256.878,   1 658.636,889.899,534.778,273.222,43.089,4.995
804,         Ukraine,2029,Both sexes combined,14,   1 927.599,   2 129.048,   2 310.380,6367027,   2 403.758,   2 268.726,   1 884.288,   2 148.593,   2 805.128,   3 501.313,   3 402.844,   3 080.747,   2 755.347,   2 496.914,   2 612.184,   2 249.002,   1 733.218,928.731,493.087,279.373,42.567,5.403
804,         Ukraine,2030,Both sexes combined,14,   1 892.736,   2 087.904,   2 278.230,6258870,   2 391.956,   2 339.389,   1 906.682,   2 057.890,   2 632.703,   3 420.079,   3 434.252,   3 124.813,   2 805.073,   2 457.450,   2 576.593,   2 252.623,   1 785.556,979.25,473.921,260.523,37.123,5.628
804,         Ukraine,2031,Both sexes combined,14,   1 860.376,   2 046.353,   2 242.540,6149269,   2 375.512,   2 385.021,   1 961.256,   1 981.480,   2 476.706,   3 297.184,   3 453.019,   3 167.291,   2 841.553,   2 445.020,   2 508.181,   2 249.315,   1 806.232,   1 040.531,485.473,262.856,48.697,5.615
804,         Ukraine,2032,Both sexes combined,14,   1 834.175,   2 004.887,   2 205.022,6044084,   2 354.876,   2 403.515,   2 049.788,   1 919.082,   2 340.667,   3 133.969,   3 466.099,   3 212.670,   2 873.600,   2 469.402,   2 418.962,   2 256.765,   1 808.052,   1 109.311,497.538,246.995,67.43,5.404
804,         Ukraine,2033,Both sexes combined,14,   1 813.943,   1 964.246,   2 166.257,5944446,   2 330.669,   2 401.192,   2 155.370,   1 877.187,   2 223.809,   2 946.740,   3 462.797,   3 257.918,   2 905.077,   2 518.162,   2 326.900,   2 265.101,   1 801.940,   1 176.438,511.063,225.767,80.084,5.139
804,         Ukraine,2034,Both sexes combined,14,   1 799.310,   1 925.505,   2 126.379,5851194,   2 302.758,   2 390.297,   2 251.943,   1 865.497,   2 121.847,   2 760.683,   3 427.010,   3 298.969,   2 942.414,   2 572.317,   2 258.149,   2 259.414,   1 800.531,   1 230.005,531.36,205.871,79.428,5.024
804,         Ukraine,2035,Both sexes combined,14,   1 790.153,   1 889.914,   2 085.331,5765398,   2 271.091,   2 378.514,   2 322.584,   1 888.341,   2 032.670,   2 592.288,   3 349.670,   3 332.061,   2 988.164,   2 620.694,   2 227.078,   2 232.535,   1 809.107,   1 265.628,559.564,191.579,64.178,5.196
804,         Ukraine,2036,Both sexes combined,14,   1 788.779,   1 858.908,   2 043.095,5690782,   2 235.629,   2 362.687,   2 368.187,   1 942.896,   1 957.541,   2 439.194,   3 229.584,   3 351.093,   3 029.961,   2 657.008,   2 219.620,   2 173.815,   1 812.506,   1 285.212,609.328,206.365,64.156,5.728
804,         Ukraine,2037,Both sexes combined,14,   1 791.825,   1 833.253,   2 001.199,5626277,   2 198.478,   2 342.677,   2 386.977,   2 031.317,   1 896.333,   2 305.893,   3 070.480,   3 365.539,   3 074.858,   2 689.937,   2 245.346,   2 097.853,   1 823.941,   1 290.327,657.602,216.095,63.243,6.552
804,         Ukraine,2038,Both sexes combined,14,   1 798.306,   1 813.196,   1 960.356,5571858,   2 159.826,   2 318.633,   2 384.913,   2 136.510,   1 855.172,   2 191.194,   2 887.917,   3 364.208,   3 119.843,   2 722.481,   2 292.262,   2 021.185,   1 835.096,   1 290.184,697.006,224.084,62.064,7.487
804,         Ukraine,2039,Both sexes combined,14,   1 807.147,   1 798.295,   1 922.006,5527448,   2 119.756,   2 290.393,   2 374.063,   2 232.475,   1 843.684,   2 090.902,   2 706.494,   3 331.015,   3 161.145,   2 760.274,   2 343.660,   1 966.929,   1 833.864,   1 293.715,726.453,228.661,58.808,8.272
804,         Ukraine,2040,Both sexes combined,14,   1 817.954,   1 787.569,   1 887.639,5493162,   2 078.632,   2 258.291,   2 362.198,   2 302.598,   1 866.408,   2 003.238,   2 542.533,   3 257.362,   3 195.446,   2 805.978,   2 390.419,   1 947.033,   1 815.270,   1 304.170,743.14,234.1,49.305,8.73
