Time,Time Code,Population ages 0-14 (% of total) [SP.POP.0014.TO.ZS],"Population ages 0-14, total [SP.POP.0014.TO]",Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS],"Population ages 15-64, total [SP.POP.1564.TO]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, total [SP.POP.65UP.TO]",Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]"
1993,YR1993,20 1/2,10722385,66 1/2,34617709,13,6839116,0.055485759,52179210
1994,YR1994,20,10506907,66 1/2,34460105,13 1/2,6954029,-0.496001742,51921041
1995,YR1995,20,10230988,66 1/2,34309883,13 1/2,6971428,-0.790352758,51512299
1996,YR1996,19 1/2,9893333,67,34170781,13 1/2,6993075,-0.887423727,51057189
1997,YR1997,19,9542794,67 1/2,34121391,13 1/2,6929921,-0.911128989,50594105
1998,YR1998,18 1/2,9179856,68,34128508,13 1/2,6835575,-0.893741785,50143939
1999,YR1999,17 1/2,8801784,68 1/2,34095077,13 1/2,6776489,-0.942907769,49673350
2000,YR2000,17,8417916,69,33970741,14,6787191,-1.006596332,49175848
2001,YR2001,16 1/2,8057645,69,33709494,14,6916726,-1.005494764,48683865
2002,YR2002,16,7704806,69 1/2,33393182,14 1/2,7104512,-0.993677409,48202500
2003,YR2003,15 1/2,7385816,69 1/2,33116128,15 1/2,7311006,-0.811436362,47812950
2004,YR2004,15,7110279,69 1/2,32889357,15 1/2,7451964,-0.758627911,47451600
2005,YR2005,14 1/2,6889228,69 1/2,32730323,16,7485599,-0.732790732,47105150
2006,YR2006,14 1/2,6703595,69 1/2,32574090,16,7510065,-0.676092035,46787750
2007,YR2007,14,6585231,70,32468196,16,7455923,-0.596804887,46509350
2008,YR2008,14,6524057,70,32376127,16,7358016,-0.541462211,46258200
2009,YR2009,14,6496127,70,32289186,16,7267987,-0.443932417,46053300
2010,YR2010,14,6479886,70,32184108,16,7206707,-0.397285236,45870700
2011,YR2011,14 1/2,6546969,70,31987043,16,7172089,-0.359480081,45706100
2012,YR2012,14 1/2,6596808,70,31839280,16,7157212,-0.24709923,45593300
2013,YR2013,14 1/2,6643787,69 1/2,31689227,16,7156586,-0.22770475,45489600
2014,YR2014,15,6698488,69 1/2,31422954,16,7150505,-0.479615926,45271947
2015,YR2015,15,6800175,69,31180362,16,7173492,-0.260805738,45154029
2016,YR2016,15,6854713,68 1/2,30875921,16,7274011,-0.33138051,45004645
2017,YR2017,15 1/2,6945680,68,30505473,16,7380006,-0.386229561,44831159
2018,,,6948061,,29681626,,7379527,,44009214
