ISO 3166-1 numeric code,Location,Time,Sex,Note,0-4,9-May,14-Oct,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,15-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,65+,All
900,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,   Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,      Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,         Ukraine,2018,Both sexes combined,14,   2 302.858,   2 457.319,   2 187.884,6948061,1927041,2296361,3071927,3659750,3515087,3236517,2943156,2931846,3150145,2949796,29681626,2455914,1633580,1437803,1171612,421362,224191,33054,2011,7379527,44009214
804,         Ukraine,2019,Both sexes combined,14,   2 303.869,   2 428.509,   2 287.688,7020066,1913946,2189905,2874578,3615767,3552217,3268002,2999477,2832307,3130599,2926467,29303265,2554747,1707949,1306313,1242647,40141,222473,34367,1983,7110620,43433951
804,         Ukraine,2020,Both sexes combined,14,   2 284.881,   2 402.888,   2 361.523,7049292,1936622,2097645,2697297,3530337,3581303,3309350,3048132,2778440,3082640,2917078,28978844,2624530,1793206,1243298,1234267,423448,201279,29032,2038,7551098,43579234
804,         Ukraine,2021,Both sexes combined,14,   2 259.070,   2 383.827,   2 406.203,7049100,1990019,2018878,2535471,3400596,3598025,3351868,3086265,2758679,2998418,2905862,28644081,2652631,1879611,1221710,1176517,497674,199526,37941,2179,7667789,43360970
804,         Ukraine,2022,Both sexes combined,14,   2 224.406,   2 362.090,   2 424.736,7011232,2078296,1955091,2395222,3230228,3608793,3397579,3118688,2782095,2888959,2908502,28363453,2651896,1982693,1237219,1073057,58609,181667,50707,2397,7238245,42612930
804,         Ukraine,2023,Both sexes combined,14,   2 180.425,   2 338.667,   2 422.690,6941782,2184503,1912477,2275401,3035905,3602568,3443120,3149176,2834523,2774803,2912761,28125237,2634931,2089358,1279084,962427,657134,164702,58989,2687,7849312,42916331
804,         Ukraine,2024,Both sexes combined,14,   2 134.515,   2 312.420,   2 411.615,6858550,2282007,1900296,2170919,2842945,3562363,3483333,3184498,2892830,2686126,2899004,27904321,2620014,2180353,1337162,883716,688198,154332,57693,3042,7924510,42687381
804,         Ukraine,2025,Both sexes combined,14,   2 091.129,   2 281.169,   2 399.606,6771904,2353530,1922897,2079374,2668229,3478990,3513949,3227873,2942871,2640310,2857438,27685461,2616933,2244671,1407559,850245,669209,158276,44939,345,7992177,42449542
804,         Ukraine,2026,Both sexes combined,14,   2 049.717,   2 245.487,   2 383.191,6678395,2398887,1977481,2002054,2509441,3353458,3532706,3271211,2981145,2624017,2781354,27431754,2610535,2268664,1481874,848016,642646,202627,43335,3929,8101626,42211775
804,         Ukraine,2027,Both sexes combined,14,   2 007.458,   2 208.037,   2 362.862,6578357,2417283,2066321,1939094,2371163,3186941,3545215,3317311,3014096,2647969,2681519,27186912,2616491,2268752,1569505,862488,591071,2445,42597,447,7953796,41719065
804,         Ukraine,2028,Both sexes combined,14,   1 966.330,   2 169.135,   2 338.672,6474137,2414812,2172130,1896607,2252340,2995601,3540147,3362633,3044988,2698742,2577107,26955107,2622806,2256878,1658636,889899,534778,273222,43089,4995,8284303,41713547
804,         Ukraine,2029,Both sexes combined,14,   1 927.599,   2 129.048,   2 310.380,6367027,2403758,2268726,1884288,2148593,2805128,3501313,3402844,3080747,2755347,2496914,26747658,2612184,2249002,1733218,928731,493087,279373,42567,5403,8343565,41458250
804,         Ukraine,2030,Both sexes combined,14,   1 892.736,   2 087.904,   2 278.230,6258870,2391956,2339389,1906682,2057890,2632703,3420079,3434252,3124813,2805073,2457450,26570287,2576593,2252623,1785556,97925,473921,260523,37123,5628,7489892,40319049
804,         Ukraine,2031,Both sexes combined,14,   1 860.376,   2 046.353,   2 242.540,6149269,2375512,2385021,1961256,1981480,2476706,3297184,3453019,3167291,2841553,2445020,26384042,2508181,2249315,1806232,1040531,485473,262856,48697,5615,8406900,40940211
804,         Ukraine,2032,Both sexes combined,14,   1 834.175,   2 004.887,   2 205.022,6044084,2354876,2403515,2049788,1919082,2340667,3133969,3466099,3212670,2873600,2469402,26223668,2418962,2256765,1808052,1109311,497538,246995,6743,5404,8349770,40617522
804,         Ukraine,2033,Both sexes combined,14,   1 813.943,   1 964.246,   2 166.257,5944446,2330669,2401192,2155370,1877187,2223809,2946740,3462797,3257918,2905077,2518162,26078921,2326900,2265101,1801940,1176438,511063,225767,80084,5139,8392432,40415799
804,         Ukraine,2034,Both sexes combined,14,   1 799.310,   1 925.505,   2 126.379,5851194,2302758,2390297,2251943,1865497,2121847,2760683,3427010,3298969,2942414,2572317,25933735,2258149,2259414,1800531,1230005,53136,205871,79428,5024,7891558,39676487
804,         Ukraine,2035,Both sexes combined,14,   1 790.153,   1 889.914,   2 085.331,5765398,2271091,2378514,2322584,1888341,2032670,2592288,3349670,3332061,2988164,2620694,25776077,2227078,2232535,1809107,1265628,559564,191579,64178,5196,8354865,39896340
804,         Ukraine,2036,Both sexes combined,14,   1 788.779,   1 858.908,   2 043.095,5690782,2235629,2362687,2368187,1942896,1957541,2439194,3229584,3351093,3029961,2657008,25573780,2219620,2173815,1812506,1285212,609328,206365,64156,5728,8376730,39641292
804,         Ukraine,2037,Both sexes combined,14,   1 791.825,   1 833.253,   2 001.199,5626277,2198478,2342677,2386977,2031317,1896333,2305893,3070480,3365539,3074858,2689937,25362489,2245346,2097853,1823941,1290327,657602,216095,63243,6552,8400959,39389725
804,         Ukraine,2038,Both sexes combined,14,   1 798.306,   1 813.196,   1 960.356,5571858,2159826,2318633,2384913,2136510,1855172,2191194,2887917,3364208,3119843,2722481,25140697,2292262,2021185,1835096,1290184,697006,224084,62064,7487,8429368,39141923
804,         Ukraine,2039,Both sexes combined,14,   1 807.147,   1 798.295,   1 922.006,5527448,2119756,2290393,2374063,2232475,1843684,2090902,2706494,3331015,3161145,2760274,24910201,2343660,1966929,1833864,1293715,726453,228661,58808,8272,8460362,38898011
804,         Ukraine,2040,Both sexes combined,14,   1 817.954,   1 787.569,   1 887.639,5493162,2078632,2258291,2362198,2302598,1866408,2003238,2542533,3257362,3195446,2805978,24672684,2390419,1947033,1815270,1304170,74314,2341,49305,873,7583725,37749571
